,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G,Classe
1081,Acre,657,Sim,Sim,Sim,Não,média_baixa
1082,Acre,675,Sim,Não,Sim,Sim,média_baixa
1083,Acre,763,Sim,Sim,Sim,Não,média_baixa
1084,Acre,4000,Sim,Sim,Sim,Sim,alta
1086,Acre,1100,Sim,Sim,Sim,Não,média_baixa
1089,Acre,584,Sim,Não,Sim,Sim,média_baixa
1091,Acre,1388,Sim,Não,Sim,Sim,média_baixa
1092,Acre,113,Sim,Sim,Sim,Sim,baixa
1097,Acre,934,Sim,Não,Sim,Sim,média_baixa
1100,Acre,262,Sim,Não,Sim,Sim,baixa
1103,Acre,1715,Sim,Sim,Sim,Sim,média
1104,Acre,325,Sim,Sim,Sim,Sim,baixa
1106,Acre,800,Sim,Sim,Não,Não,média_baixa
1108,Acre,462,Sim,Não,Sim,Sim,baixa
1109,Acre,433,Sim,Não,Sim,Sim,baixa
1113,Acre,303,Sim,Não,Sim,Sim,baixa
1114,Acre,1050,Sim,Sim,Sim,Não,média_baixa
1116,Acre,3500,Sim,Sim,Sim,Sim,alta
1120,Acre,878,Sim,Não,Sim,Sim,média_baixa
1123,Acre,2300,Sim,Sim,Sim,Não,média
1127,Acre,594,Sim,Sim,Não,Não,média_baixa
1145,Acre,300,Sim,Sim,Sim,Sim,baixa
1149,Acre,515,Sim,Não,Sim,Sim,média_baixa
1153,Acre,366,Sim,Não,Sim,Sim,baixa
1155,Acre,325,Sim,Não,Sim,Sim,baixa
1156,Acre,2000,Sim,Não,Sim,Sim,média
1157,Acre,566,Sim,Não,Sim,Sim,média_baixa
1158,Acre,461,Sim,Sim,Sim,Sim,baixa
1160,Acre,788,Sim,Não,Sim,Sim,média_baixa
1161,Acre,2000,Sim,Não,Sim,Sim,média
1165,Acre,822,Sim,Não,Sim,Sim,média_baixa
1166,Acre,630,Sim,Sim,Sim,Sim,média_baixa
1167,Acre,757,Sim,Não,Sim,Sim,média_baixa
1168,Acre,427,Sim,Não,Sim,Sim,baixa
1169,Acre,440,Sim,Sim,Sim,Sim,baixa
