,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G
94020,São Paulo,1425,Sim,Não,Sim,Sim
94022,São Paulo,1666,Sim,Não,Não,Não
94023,São Paulo,600,Sim,Não,Não,Sim
94024,São Paulo,960,Sim,Não,Não,Não
94025,São Paulo,600,Sim,Não,Sim,Sim
94027,São Paulo,1466,Sim,Não,Não,Não
94028,São Paulo,1550,Sim,Não,Não,Não
94030,São Paulo,600,Sim,Não,Sim,Sim
94031,São Paulo,816,Sim,Não,Sim,Sim
94032,São Paulo,983,Sim,Não,Sim,Sim
94033,São Paulo,2300,Sim,Não,Não,Não
94036,São Paulo,1066,Sim,Não,Não,Não
94039,São Paulo,936,Sim,Sim,Não,Não
94040,São Paulo,2300,Sim,Não,Não,Não
94041,São Paulo,2300,Sim,Não,Sim,Sim
94042,São Paulo,1394,Sim,Não,Não,Não
94043,São Paulo,750,Sim,Não,Não,Não
94045,São Paulo,1050,Sim,Não,Não,Não
94047,São Paulo,1900,Sim,Não,Sim,Sim
94049,São Paulo,1150,Sim,Não,Sim,Sim
94050,São Paulo,833,Sim,Não,Sim,Sim
94051,São Paulo,289,Sim,Sim,Não,Não
94052,São Paulo,1144,Sim,Não,Não,Não
94056,São Paulo,3300,Sim,Não,Não,Não
94059,São Paulo,1500,Sim,Não,Não,Não
94061,São Paulo,1495,Sim,Não,Sim,Não
94062,São Paulo,3566,Sim,Não,Não,Não
94066,São Paulo,12500,Sim,Não,Não,Sim
94069,São Paulo,800,Sim,Não,Não,Sim
94070,São Paulo,1833,Sim,Não,Não,Não
94071,São Paulo,2929,Sim,Não,Não,Sim
94073,São Paulo,700,Sim,Sim,Não,Não
94074,São Paulo,324,Sim,Sim,Não,Não
94075,São Paulo,766,Sim,Não,Não,Sim
94077,São Paulo,2500,Sim,Não,Não,Sim
94078,São Paulo,7100,Sim,Não,Não,Não
94081,São Paulo,500,Sim,Não,Não,Não
94082,São Paulo,1566,Sim,Não,Não,Não
94086,São Paulo,1025,Sim,Não,Não,Sim
94087,São Paulo,665,Sim,Sim,Não,Não
94088,São Paulo,629,Sim,Não,Não,Não
94089,São Paulo,1100,Sim,Sim,Não,Não
94090,São Paulo,1081,Sim,Não,Não,Não
