,UF,V02322,V0210,V4105,V0232
2694,11,2.0,2.0,1,2.0
2695,11,2.0,2.0,1,2.0
2699,11,2.0,2.0,1,2.0
2707,11,2.0,2.0,1,2.0
2708,11,2.0,2.0,1,2.0
2709,11,2.0,2.0,1,2.0
2728,11,2.0,2.0,8,2.0
2734,11,2.0,2.0,8,2.0
2756,11,2.0,2.0,8,2.0
2762,11,2.0,2.0,8,2.0
2763,11,2.0,2.0,1,2.0
2765,11,2.0,2.0,1,2.0
2767,11,2.0,2.0,1,2.0
2768,11,2.0,2.0,1,4.0
2772,11,2.0,2.0,1,4.0
2781,11,2.0,2.0,1,2.0
2806,11,4.0,2.0,8,4.0
2819,11,2.0,2.0,8,2.0
2823,11,4.0,2.0,8,4.0
2857,12,4.0,2.0,1,4.0
2863,12,4.0,2.0,1,4.0
2864,12,2.0,2.0,1,2.0
2865,12,2.0,2.0,1,2.0
2866,12,2.0,2.0,1,2.0
2868,12,2.0,2.0,1,2.0
2869,12,2.0,2.0,1,2.0
2873,12,2.0,2.0,1,2.0
2876,12,4.0,2.0,1,4.0
2879,12,2.0,2.0,1,2.0
2880,12,4.0,2.0,1,4.0
2883,12,2.0,2.0,1,2.0
2884,12,2.0,2.0,1,2.0
2885,12,2.0,2.0,1,2.0
2889,12,2.0,2.0,1,2.0
2897,12,4.0,2.0,8,4.0
2898,12,4.0,2.0,8,4.0
2902,12,4.0,2.0,8,4.0
2913,12,4.0,2.0,8,4.0
2921,12,4.0,2.0,8,4.0
2925,12,4.0,2.0,8,4.0
2927,12,2.0,2.0,1,2.0
2928,12,2.0,2.0,1,2.0
2929,12,2.0,2.0,1,2.0
2935,12,4.0,2.0,1,4.0
2936,12,2.0,2.0,1,2.0
2942,12,2.0,2.0,1,2.0
2943,12,2.0,2.0,1,2.0
2944,12,2.0,2.0,1,2.0
2951,12,2.0,2.0,1,2.0
2958,12,2.0,2.0,1,2.0
2962,12,2.0,2.0,1,2.0
2967,12,2.0,2.0,1,2.0
2973,12,2.0,2.0,1,4.0
2976,12,2.0,2.0,1,2.0
2979,12,2.0,2.0,1,2.0
2985,12,2.0,2.0,1,2.0
2996,12,2.0,2.0,1,2.0
2997,12,2.0,2.0,1,2.0
2998,12,2.0,2.0,1,4.0
3000,12,4.0,2.0,1,4.0
3004,12,2.0,2.0,1,2.0
3007,12,2.0,2.0,1,2.0
3014,12,2.0,2.0,1,2.0
3015,12,4.0,2.0,1,4.0
3016,12,4.0,2.0,1,4.0
3022,12,2.0,2.0,1,2.0
3023,12,4.0,2.0,1,4.0
3024,12,2.0,2.0,1,2.0
3038,12,4.0,2.0,8,4.0
3041,12,4.0,2.0,1,4.0
3044,12,2.0,2.0,1,2.0
3047,12,4.0,2.0,1,4.0
3050,12,4.0,2.0,1,4.0
3051,12,2.0,2.0,1,2.0
3059,12,4.0,2.0,8,4.0
3061,12,4.0,2.0,8,4.0
3065,12,2.0,2.0,8,4.0
3069,12,2.0,2.0,1,2.0
3071,12,2.0,2.0,1,2.0
3077,12,2.0,2.0,1,2.0
3078,12,2.0,2.0,1,2.0
3081,12,2.0,2.0,1,4.0
3084,12,4.0,2.0,1,4.0
3086,12,2.0,2.0,1,2.0
3089,12,2.0,2.0,1,4.0
3091,12,4.0,2.0,1,4.0
